@relation dataset-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L1-3-V-H

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute rawx numeric
@attribute rawy numeric
@attribute rawz numeric
@attribute accx numeric
@attribute accy numeric
@attribute accz numeric
@attribute rot1 numeric
@attribute rot2 numeric
@attribute rot3 numeric
@attribute rot4 numeric
@attribute azimuth numeric
@attribute pitch numeric
@attribute roll numeric
@attribute OnOff {0,1,2}
@attribute CutoffFreq numeric
@attribute Gain numeric
@attribute Q numeric
@attribute Vol numeric

@data
440,'2020/07/02 18:45:35:527',31,0.01915,0.119705,10.113113,0.001561,-0.000495,-0.000924,0.005424,0.002685,0.576517,0.817063,69.264809,0.681554,0.109014,?,?,?,0,?
441,'2020/07/02 18:45:35:639',31,0.021545,0.122101,10.117889,0.001561,-0.000495,-0.000924,0.005457,0.002695,0.57649,0.817081,69.356766,0.688961,0.108184,?,?,?,0,?
442,'2020/07/02 18:45:35:731',31,0.021545,0.124496,10.115509,0.001996,0.001603,0.00034,0.00551,0.002715,0.576441,0.817116,69.356766,0.688961,0.108184,?,?,?,0,?
443,'2020/07/02 18:45:44:622',32,0.069427,0.031128,10.127472,0.001106,0.000139,-0.001863,0.003722,0.001247,0.99998,0.004928,170.847366,0.127561,0.418448,?,?,?,100,?
444,'2020/07/02 18:45:44:625',32,0.074219,0.031128,10.115509,0.001822,0.005063,-0.003162,0.003686,0.001283,0.999981,0.004838,172.0186,0.145022,0.425752,?,?,?,100,?
445,'2020/07/02 18:45:44:667',32,0.083801,0.023941,10.117889,0.001822,0.005063,-0.003162,0.003627,0.001312,0.999982,0.004688,172.0186,0.145022,0.425752,?,?,?,100,?
446,'2020/07/02 18:45:44:759',32,0.076614,0.033524,10.122681,-0.00161,0.002563,-0.000201,0.003695,0.001315,0.999981,0.00486,172.524506,0.152343,0.414949,?,?,?,100,?
447,'2020/07/02 18:45:44:859',32,0.076614,0.031128,10.129868,-0.00161,0.002563,-0.000201,0.003741,0.001391,0.99998,0.00498,172.524506,0.152343,0.414949,?,?,?,100,?
448,'2020/07/02 18:45:44:961',32,0.071823,0.016754,10.115509,0.003181,0.002519,0.002429,0.003739,0.001286,0.99998,0.004972,172.978485,0.157517,0.426583,?,?,?,100,?
449,'2020/07/02 18:45:45:059',32,0.067032,0.023941,10.122681,0.003181,0.002519,0.002429,0.003803,0.00119,0.999979,0.005135,172.978485,0.157517,0.426583,?,?,?,100,?
450,'2020/07/02 18:45:45:160',32,0.067032,0.026337,10.120285,0.000712,-0.005469,0.002257,0.003729,0.001193,0.99998,0.004945,172.435593,0.136343,0.432184,?,?,?,100,?
451,'2020/07/02 18:45:45:266',32,0.069427,0.016754,10.108322,0.000712,-0.005469,0.002257,0.003626,0.001222,0.999982,0.004684,172.435593,0.136343,0.432184,?,?,?,100,?
452,'2020/07/02 18:45:45:360',32,0.07901,0.023941,10.117889,-0.005749,0.000016,0.000237,0.003667,0.00118,0.999981,0.004787,171.677017,0.141959,0.414904,?,?,?,100,?
453,'2020/07/02 18:45:45:460',32,0.081406,0.028732,10.108322,-0.005749,0.000016,0.000237,0.003683,0.001261,0.999981,0.004829,171.677017,0.141959,0.414904,?,?,?,100,?
